X1 part
"Hope we can talk about that, but I want to talk about basically one big important thing. How do we change the dynamic? This is a gigantic opportunity. As bad as things have gotten, the blinders have sort of been taken off the American people now. They look out there, and we have the pandemic, unemployment. We have race relations that are just been drawn into focus and everything from police brutality to lack of access. But the American people have all of a sudden, average people have gone, “My Lord. Holy mackerel. I didn’t know it was this bad.” A lot of them didn’t know. A lot did. But a lot didn’t know it was this bad. And talking to … Well, I won’t go into it. I’m talking too much now in my opening statement, but here’s the point." Charlotte_part_11
"The point is, I believe we have a gigantic opportunity, a gigantic opportunity to fundamentally change the systemic racism and the systemic problems that exist in our system. And I think we have to do it, but only one way to do it. We’ve got to show up and vote. But I believe the American people are not going to be turned off. I believe no matter what the administration does to try to make it hard to vote for everyone, not just people of color, but everyone, no matter what, I think they’re going to vote. You see what’s happened in Virginia, early voting. They have four hour lines in the first day, and we’re over 40 days out. People are going to show up and vote. They will not be dissuaded." Charlotte_part_12
"And so that’s why I’m optimistic. I was asked by one of the foreign leaders when I was overseas, when I was the vice president, they said, “Can you define America for me?” I said, “Yes, I can, in one word. Possibilities. Possibilities.” We’re the only country that believes anything’s possible. But it’s about time we make it possible for everybody? That’s what this is all about. I think we got a gigantic opportunity in the year 2020 to make these changes. And with that, as my mother would say, I’m going to hush up and take any questions you all have. And I’ve got to get out of the way here." Charlotte_part_13
"I was kidding Chris inside. I was saying as long as I can say what the best HBCU is in America, Delaware State University. But that’s another issue. That’s a joke, but it’s not a joke. They’re great. That’s how I got my start, by the way. I went to University of Delaware. But the reason I got involved in politics in the first place is because of what was going on in my state in terms of segregation and in terms of Dr. King being assassinated. Part of the, major part of our city was burned to the ground. That’s how I got engaged. And a lot of my support came out of that HBCU." Charlotte_part_14
"Look, right now, one thing all the data shows is that, given an opportunity, an equal opportunity, there’s not a single thing that an African-American can’t do that a white American can do, that a Hispanic American, an Asian American … I mean, not a single thing. And so what’s happened? It’s about access to opportunity and access to good jobs. Now, an awful lot of universities like, great university like UNC or Wake Forest, a lot of schools, they have endowments, and the endowment allows them to provide for the circumstance to bid for these major federal initiatives that allow them to bring into the school a technology or a program that is able to bring in outside sponsors, as well as government sponsors, and then have students work in those areas." Charlotte_part_15
"For example, cybersecurity. Cybersecurity is a big deal, but you have to … And as a future, there’s going to be millions of, over time, good paying jobs in the area of cybersecurity. But because the HBCUs, for example, most of them don’t have the economic … They don’t have the endowment to be able to build the facilities that can attract the environment, the government funding, as well as private endowment. They don’t get to set these up." Charlotte_part_16
"For example, when I was vice president, we went down to Roanoke and we provided funding for an HBCU to have a cybersecurity proposal. They did it. They got the contract. And now what they’re doing are training young women and men who’ll get out and good starting jobs, jobs where you can end up being paid more than a hundred grand a year. And they’re fully, totally, thoroughly capable." Charlotte_part_17
"What I’ve done is I’ve proposed, and we’ll get this done … I proposed a 10-year program for $70 billion for HBCUs, $70 billion. And that $70 billion will be available through the HBCUs based on their competition to get access to it, but everyone will qualify, every HBCU. And they’ll be able to do the kinds of things that other universities do." Charlotte_part_18
"For example, Delaware State University is a great university. The president of the university is a young man who used to work for me in my Senate office. Now, brilliant guy. He’s a doctorate. The end result of it is though when the University of Delaware makes an application for dealing with solar energy, because it has a significant base, it gets this significant injection of technological capability, or, for example, light metals. They took over an old facility, it used to be a Ford facility long, long time ago. They took over a facility used to be a Chrysler facility and got shut down. And now what do they have at that facility? They have people in that facility who are now doing metallurgy that relate to making lightweight aluminum and metal decks for aircraft carriers. Well, it’s a multi-million dollar and will end up being a billion-dollar project. And so the people who get to work on that, the very students in that university get to work on it, they’re the ones that are going to go out and get these great jobs. So that’s the first thing I’m going to do for HBCUs." Charlotte_part_19
"Secondly, we have to look at, and we have been looking at, the idea that we have to bring in HBCUs to engage in more of what we are doing in terms of our national dialogue. And for example, I kid … Two of the guys that are on my co-sponsors of my campaign, African-Americans, they’ve talked about themselves as Morgan men. I’m a Morgan man. Well, there’s a lot of great universities including right here, but we have an opportunity to provide for, you’re able to get to those universities. How can you do it? Well, I’m going to see to it that any family, anyone who comes from a family that makes a total income of less than $125,000 a year gets free college education. They don’t get in. If they get in and qualify, they pay nothing to go to college." Charlotte_part_20
"Secondly, there are also programs that exist now that if you provide for the work, that you will volunteer to do something in the public interest, and you do it for five years or more, you can deduct $10, 000 a year up to $50,000 off of that debt you have. And you have an awful lot of young African-Americans that have graduated. The average debt is about $19,000 a year. Well, it’s hard as hell to get started. Hard to get started when you have that debt hanging over your head. The average debt is even higher. It’s up to $28,000 a year, someone graduating from a four year school." Charlotte_part_21
"And this generation, this whole new generation from 9/11 on, that in fact is, they’re not in a position to be able to do it. So there’s a whole lot of reasons that economically this will benefit. This isn’t just draining money. And by the way, I pay for every one of these things by the way, I deal with the tax structure. But that’s another story. So that’s a piece of what I think we can and should be doing with HBCUs. And secondly, I will, in my administration, elevate, elevate the standing of HBCUs by the people in my administration as well." Charlotte_part_22
"And that’s why the economists had predicted prior to, and I’ll end with this, I’m telling you too much, but because I’m pretty passionate about this. What happens is that if, it was pointed out before the COVID crisis, that we’re going to have an economic slowdown because the entire generation, this from 9/11 generation through to the generation now, and coming out of this, this god-awful circumstance we’re in, they, in fact, are not going to have the wherewithal because of student debt to be able to borrow the money to buy a home, buy a new vehicle, buy an apartment, and spend the money and capital, where a significant portion of our economy is driven by consumption, by consumption." Charlotte_part_23
"We’re going to raise it to $15 an hour nationally. I’ve been deeply involved in raising it as I’ve gone around the country working with cities and counties that in fact have raised it, including New York City and out on the West Coast, as well. Here’s the deal. If you make less than $15 an hour working 40 hours a week, you’re making a wage under the poverty level. No one in America should be working for a 40-hour week job and still be living in poverty. It should not exist. Number one." Charlotte_part_24
"Number two, it also demonstrates that if we pay people $15 an hour as a minimum wage, you grow the economy. The idea that this somehow puts people out of business, there’s no evidence of that. What happens is you have people, if you’re making 15 bucks an hour instead of $7 an hour, you’re able to buy more things. You’re able to pay more bills. You’re able to do more that ends up increasing the GDP, the growth of the whole economy. So it’s not only a good thing for the person who is going to be making a decent wage from the beginning, but going to be good for the economy as a whole." Charlotte_part_25
"My mother would say, “God love you, dear.” Well, as a simple proposition for me, I don’t exaggerate as a second grade teacher, why you’re so important. If I had only $1 to spend in education and I could spend it post-graduation or pre-kindergarten, I’d spend it pre-kindergarten. Not a joke. Because you know as well as I do based on your educational background, that 60% of a child’s brain is already developed by the time they’re three, four, five years old. And so what happens is, people start off based on their ZIP code and their family background. They may start off way behind the curve. You know you have a lot of students who they come into school, if they come from a very poor background in a community raised by a single mom or a single dad, through no fault of their own, they will have probably heard 1 million fewer words spoken by the time they get to first grade. That by itself is an impediment. Nobody’s forced that on anybody, but we’ve got to change it. And so the way to change it is threefold." Charlotte_part_26
"Number one, as I said, provide for early education, starting at three years of age, and it’s not … This is you think, “Oh my Lord, why we have a three-year-old go to school?” They learn as rapidly as a six-year-old, a 12-year-old, a 14-year-old. And they just suck it all up. They just suck it all up. Number one. Number two, to make sure that we pay teachers enough money to stay in the business of teaching. My wife’s a full-time teacher. My wife has never stopped. As first lady, as the second lady, I should say, she taught 15 credits every semester at a community college. Before that, she taught juniors and-" Charlotte_part_27
"At a community college. Before that, she taught juniors and seniors in high school for 25 years. I think it was 25. My point is a long time. Although, I’m not allowed to tell the exact number because my wife is 30 years younger than I am. I started off not quite that much. There’s no woman in the entire Biden family as old as any man, but that’s another issue. All kidding aside, the fact is that it is the lifeblood of… Look, people… They say, “Well, these two children.” They’re all our children. They are the kite strings that lift our national ambitions aloft." Charlotte_part_28
"It’s bizarre, crazy for us. In every single empirical study done, the more money you spend, the better you educate a child throughout the process, the better the community as a whole is. Everybody, across the board. That’s why we also have to make sure that we provide for more direct funding for specific programs in schools. As you know, better than most will know, the bulk of all the funding, if your school uses local funding." Charlotte_part_29
"It’s not national funding. It’s not federal funding. Federal funding can focus on particular needs within schools. One of those needs is to deal with access to equal education in the early grades and not be determined by your zip code. That requires us to spend more money on schools that in fact, and teachers… Look, I’m not going to ask you what you make. Teachers… One of the other things that all the studies have shown is that when you’re in a student body where there’s students of color, it makes a gigantic difference if there are teachers of color, particularly male teachers of color." Charlotte_part_30
"A gigantic difference. It’s just a factual predicate. We have to encourage schools of education to attract more people of color to get in and teach. The only way to do that is to raise the salaries. I mean, idea that a teacher is out there after several years making $40,000… You have, probably, a student debt larger than that. Enough, for real. That’s why the last piece of the student debt… Anybody who has a student debt who teaches, that counts as working for the national interest. You get to deduct $ 10,000 of that student debt per year for five years, and up to $50,000 if you’re teaching." Charlotte_part_31
"We can afford this, by the way. This is not something that we have… Just give you a little idea here. I carry this card with me because everybody says, “Well, Biden’s going to raise all taxes, and everybody’s going to be in trouble, and what we’re going to do here.” Let’s see if I can find it, if I have it here. Anyway, I have a list of how I will fund every single thing that I’m talking about. For example, if we just made corporations not pay 21%, and 91 of the Fortune 500 companies pay no tax, zero, zero, okay, none… If we just made them pay 28, it used to be 38, make 28%, raise it to 28%, and everybody had to pay it, that would raise a total of $ 1,370 billion. I’m not trying to punish anybody. It’s time for everybody to start paying their fair share." Charlotte_part_32
"President has a new proposal. Some of you may like it. I don’t know anybody in my neighborhood know it works very well, and that is another $30 billion tax cut for billionaires. You think I’m making it like billionaire. I sound like Bernie Sanders, “Billionaires are bad.” That’s not the problem. Problem is in reducing the capital gains tax… If you make your money off investments as opposed to sweating your brow or walking up and getting a paycheck, right, he thinks you should only have to pay 15% of your income. You’ll pay more as a school teacher than somebody making $20 million bucks. It’s all coming from investments. It’s not right. Don’t want to punish anybody. Just about time everybody pays their fair share. The way I do that is I raise the tax back for millionaires and billionaires to 39.4%. They’re talking about 90%. That’s not true. It was 39.4% when Bush was president. You just raise that tax rate back up to 39.4%. That raises 6%. That raises $90 billion. Just give you an example." Charlotte_part_33
"There’s much more I could talk, but my point is it will not… By the way, I went to undergraduate and graduate school. I was very flattered that, I think it’s 14 Nobel Laureates in economics, just endorsed me, and said my plans make sense. All this stuff about Biden’s going to bankrupt the country and Biden is going to spend $400 billion, and you’re going to raise your taxes… not true. We can do it all by just somebody just starting to pay your fair share. That’s all. That’s all. Give people who need a break, a break." Charlotte_part_34
"Yes. There was a big plan to do it. There’s a modal plan. First of all, the Cares Act, which passed out of the House and Senate, which was a total of $2 trillion overall, twice, was supposed to provide what they called the Main Street Lending Program. For four months, it didn’t lend a penny. None of the money went out, number one, because you got 20 Republicans in the Senate who said they don’t want to depend anything on anything, for real. The president who has, as I said, fired the Inspector General, so you don’t know where the money’s going for certain. Secondly, on the early program for small businesses… The small business is defined of fewer than 50 employees. Now, most small businesses that are neighborhood small businesses are 10 or fewer employees." Charlotte_part_35
"What I propose is we focus on making sure that the money goes directly to those businesses that in fact provide for being able to keep their employees on the payroll for the 10 or fewer employees. That’s a priority, and then 50 and under. Here’s what’s happened. What’s happened is that not only has that not occurred, a lot of the money has gone to very big businesses that didn’t need the… I mean, they may need it, but they didn’t need it to stay alive. Even when they got it, what did they do?" Charlotte_part_36
"The commitment that I proposed, and we thought we had done, is that right now, if you get a government bailout, quote, unquote, “loan to stay alive,” what you cannot do is take that money and either buy back your own stock and, or increase your salaries with that money. It’s to keep people employed, keep them on a payroll. That’s what a lot of the businesses have done. They buy back their own stock, increasing the net worth of the people who own the stock, and in fact, pay their salaries based on stock then. They should not be allowed to do that, number one, with government money, bailing people out." Charlotte_part_37
"What I propose is we focus on making sure that the money goes directly to those businesses that in fact provide for being able to keep their employees on the payroll for the 10 or fewer employees. That’s a priority, and then 50 and under. Here’s what’s happened. What’s happened is that not only has that not occurred, a lot of the money has gone to very big businesses that didn’t need the… I mean, they may need it, but they didn’t need it to stay alive. Even when they got it, what did they do?" Charlotte_part_38
"The commitment that I proposed, and we thought we had done, is that right now, if you get a government bailout, quote, unquote, “loan to stay alive,” what you cannot do is take that money and either buy back your own stock and, or increase your salaries with that money. It’s to keep people employed, keep them on a payroll. That’s what a lot of the businesses have done. They buy back their own stock, increasing the net worth of the people who own the stock, and in fact, pay their salaries based on stock then. They should not be allowed to do that, number one, with government money, bailing people out." Charlotte_part_39
"Secondly, a lot of you don’t know the circumstance. Now there’s no national standards as to how to open. How do you open safely? President says, “Just put up a sign, Come on in.” Well, you know your employee. Beyond your employees, your customers are going to go, “I don’t know. I mean, does everybody have to have the mask? Do they have dividers in the restaurant? Tell me how the sanitary conditions are working.” Well, you need money to pay for all that stuff. That’s why we proposed to have a multi-billion dollar program where businesses are able to get the money, not borrow the money, get the money to be able to open in the middle of this pandemic, including fixing the testing fiasco." Charlotte_part_40
"You should be in a situation where your employees can, in 24 hours, get a test to determine whether or not they’re positive or negative. You need to do that for your own protection, and the public likes to know that is protection that there are protection against anything that happens within your restaurant. The bottom line is the money is already there. The president is just not releasing it. Department is not releasing the money. It’s all done in order to be able to keep the economy moving." Charlotte_part_41
"Right now, we have over 30 million people on unemployment, over 30 million in unemployment. How in God’s name are we going to generate economic growth unless we can figure out how to keep these people back and help you get back in business? It’s the same way with schools. How many schools are not opening because there are no national standards set? No national standards set. For example, there’s a outfit… Am I telling you too much? You want me to stop?" Charlotte_part_42
"Okay. I’m really good at this. This drives me crazy. Right now, we’re in a situation where if you take a look, there is no national standard for how to open schools, how to open them safely, because the president says, “I have no responsibility. That’s not my response.” I mean, literally, that’s his phrase. “It’s not my responsibility. I’m not the blame for any of this. Let the governors or the mayors take care of it,” and then without the financial help that’s needed to be able to take care of it. I’ve laid out in detail back in July, what we’d have to do to open safely and includes providing the protective PPE, the mask, and other things that are needed, gloves, et cetera, for the schools, the school teachers, and for the children coming to school." Charlotte_part_43
"Secondly, you have to reduce the number of students in one room. You have to have modules that are smaller. For that, you need more teachers, not fewer teachers. You got to pay more teachers. Number three, you’ve got to be able to sanitize the schools, whether it’s everything from the water fountain to the lavatory, or just the surfaces that are touched, and what is breathed on by people. That costs a lot of money to do that, like it would for a restaurant as well for you to have to do that." Charlotte_part_44
"The money is there, available, to do that, but the president refuses. What he says is just open up and make sure that… School should just open up. It also relates to how far down you’ve got the reinfection rate. If it’s down below one, then it’s rational. You can, with those protections, go ahead and open a school, but watch it very closely. It requires testing and tracing to make sure you’re still on course there." Charlotte_part_45
"Look, the other thing is that if you think about it, the FEMA, the Federal Emergency… They had agreed that they were going to provide masks for schools. They started to hand them out to schools. Well, guess what? The president didn’t like that, or somebody didn’t like that. The ruling was made, “Opening schools safely is not a national emergency,” so they stopped it. Refusing to even provide masks for schools because it’s not a national emergency. Well, if this isn’t a national emergency, I don’t know what the hell is. The way we’re doing this is the way… I’ll end with this." Charlotte_part_46
"way and I’ll end with this. The president was in Ohio, I guess a couple of days ago at a rally. I don’t want to misquote him. And he said at the rally and I wrote this down, he said that “We virtually turned the corner. Nobody is really dying.” He said, “Yeah, elderly people are dying and they’re dying because they have heart conditions or other, but quote unquote, “virtually, they’re virtually nobodies. They’re the only ones dying.”" Charlotte_part_47
"So you go home and your mom is gone, your dad’s gone. He’s a virtual nobody? The idea, the way we’re talking about people, and this is all within our power to do something. The virus wasn’t his fault, but the way he’s handled it has been close to criminal. And so many people breaking their necks and by the way, my deceased wife, when I first got married, I married a beautiful woman from Syracuse, New York, Skaneateles, New York. And I got elected and I was 29-years-old. I come from a very modest family. Not bragging about it, but I was listed as the poorest man in Congress for 36 years. Because I didn’t think you were supposed to earn any money while you’re there other than your salary.s" Charlotte_part_48
"And then when I got elected vice president, one of the press outlets said, “It’s probable no man has ever been assuming the office of vice president with fewer assets than Joe Biden.” I hope they weren’t talking intellectual assets. When I got elected when I was 29, I was in Washington before I was sworn in and I got a phone call from my fire department saying my wife and daughter have just been killed. And my two boys were not likely to make it. A tractor trailer broadsided them while they were Christmas shopping. And at the time, my wife’s father, my father-in-law, he came home from World War II and he had owned a restaurant. He was a cook in World War II in the Navy and he ended up opening up a restaurant in a place called Auburn, New York, a town about 20,000 people, just south of Syracuse." Charlotte_part_49
"And it became the meeting place for everybody. It’s a place that doctors would start off the morning getting their coffee and the lawyers would have their lunch and kids after graduations would come to this called the Hunter Dinerant and then he opened up other restaurants. And in order to try to convince me to stay, I don’t blame him. I do the same with my daughter. Try to convince after he graduated to take a job in Upstate New York, rather than go back to Delaware. He offered me his prize diner. And he was making at that time, I would have made five times what I made as a lawyer. A starting lawyer salary is six grand and it was 30,000 bucks a year." Charlotte_part_50
"But the problem was for three years, I had five years I watched how hard he worked. I don’t know how you do it. You got to love it. Even in good times they think you’re crazy. It’s 24 hours a day, but you deserve a break and your employees deserve a break. And the fact that you’re fighting so hard to keep them on a job is a testament to the kind of people you are. But I promise you, I guarantee you if I’m elected, you’ll get both the PPE. You’ll get also the money to be able to open and the additional money, not only to maintain your employees, but to maintain an open place that you in fact can." Charlotte_part_51
"Well, first of all, and I guess I’ll just say it. This has been the most corrupt administration in modern American history. The Justice Department has turned into the president’s private law firm. He actually has them representing him on women who accused him of rape. Where does that come from? And the Justice Department under my administration will be totally independent of me." Charlotte_part_52
"I’ve met with a lot of restaurateurs up and around the country so they can open up and do everything from having plastic shields in front of the cashiers, to a lot of things you can do to make it safe, make it safe, and you’ll get the help.Thank you. I can really do yes or no if you ask me the easy questions. I used to be a city council when I ran for the Senate because it was too hard. They know where you live." Charlotte_part_53
"I will not direct them who to prosecute, how to prosecute, what to prosecute. And I will not be injecting. I will not enter their decisions based upon the judgments they make about what cases they bring and they don’t bring. With regard to the Civil Rights Division, I would significantly increase two things. One, civil rights presence in the Justice Department elevated so it has access to and transparency to all police departments’ activities across the country. Just so they are aware that it’s transparent what’s going on." Charlotte_part_54
"I would also make sure that I elevate the Justice Department, excuse me, the Civil Rights Division to have a direct office with inside the White House. When, for example, I’m the guy that wrote the Violence Against Women Act. When the president asked me what I wanted as vice president, I said, “I want to have jurisdiction over that act inside the White House.” Because it elevates the standing of whatever that office that comes inside the White House." Charlotte_part_55
"So I would make sure there’s a combination of the Civil Rights Division having more direct authority inside the Justice Department and being able to investigate than in fact it has now. But most of all, most of all, I would have an attorney general who understood his oath of office. It’s not a joke. The attorney general has the oath of office that in fact could do and move on what the professionals in the department thought had to be pursued without my interfering to say, “No, they’re my friends” or “I know them” or “Go after this person. Go after Hillary.” You know what I mean? This kind of stuff." Charlotte_part_56
"I get asked the question all the time by the press that travels with me, although I’m not sure the same ones that are traveling today have asked it, but I get asked the following question. “If in fact you get elected, would you prosecute Trump? Would you pursue prosecuting Trump?” And the answer is I’m not going to pursue prosecuting anybody. I’m going to do what the Justice Department says should be done, should be done and not politicize it. It’s the most dangerous thing that’s happened so far is the politicization of the Department of Justice. It’s become the Department of Trump and that’s wrong." Charlotte_part_57
"Who’s the fellow who runs 26 organizations for housing? Public? I know we didn’t get a chance to talk. Because I think what you’re doing is incredibly consequential. And I like to give you a paper on the way out of what I think we can and should do. It’s very detailed and I’d love your feedback. I’ll put a phone number on it, okay? Because it is a gigantic, gigantic, gigantic undertaking. And unless we can get people into housing, unless we can provide for housing, unless we can stop the gentrification where people are left out, then we’re going to be in real trouble." Charlotte_part_58
"And what you’re doing is really … I’m not trying to boost him. I’ve never met the gentleman, but I did read your bio and what you’re working on. And I’d really like your input and may able to call you if I could after you get what I’m proposing in detail and see what we can work out. And part of the reason I do this and what I miss about being able to do larger engagements is this is where I learn. I’m a tactical guy. I mean, I’d rather be shaking your hand and looking you in the eye and you telling me what needs to be done." Charlotte_part_59
"And don’t be reluctant at all to criticized my plan if you think it doesn’t make sense. I think it’s pretty good. I’ve worked on it really, really hard. It goes from Section 8 housing all the way to first-time home buyers, to the whole notion of these… Anyway, I’m going to give it to you before I leave, okay? You’re very polite to sit here all this time. Thank you. Thank you everybody. I really appreciate it." Charlotte_part_60
